row_id_22565,project_id,mp_name,state,constituency,work_22565,work_production,similarity_score,district_22565,expenditure_amount,allocation_amount,matching_method,confidence_category
11,PRJ_0AF165AC9831,Balashowry Vallabbhaneni,Andhra Pradesh,Machilipatnam,Improvement of electricity distribution infrastructure,NA - Improvement of electricity distribution infrastructure,1.0,Krishna,380097.0,562000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
12,PRJ_D81924156D28,Midhun Reddy,Andhra Pradesh,Rajampet,Providing supply pipelines for drinking water,NA - Providing supply pipelines for drinking water,1.0,Chittoor,99980.0,200000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
17,PRJ_73C8C835B2E9,Maddila Gurumoorthy,Andhra Pradesh,Tirupati(Sc),"Construction of roads, link roads, pathways or any other road with or without drainage system","NA - Construction of roads, link roads, pathways or any other road with or without drainage system",1.0,Tirupati,488636.0,400000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
18,PRJ_B9E600C2347E,Maddila Gurumoorthy,Andhra Pradesh,Tirupati(Sc),Installing community drinking water plants,NA - Installing community drinking water plants,1.0,Tirupati,419963.0,250000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
22,PRJ_C89BD680318D,Midhun Reddy,Andhra Pradesh,Rajampet,"Construction of roads, link roads, pathways or any other road with or without drainage system","NA - Construction of roads, link roads, pathways or any other road with or without drainage system",1.0,Annamayya,499375.0,250000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
60,PRJ_BCFBDDC30087,Magunta Sreenivasulu Reddy,Andhra Pradesh,Ongole,Construction of community centers and community halls,NA - Construction of community centers and community halls,1.0,Prakasam,1199137.0,500000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
62,PRJ_B2BB22171287,Kinjarapu Ram Mohan Naidu,Andhra Pradesh,Srikakulam,Providing drains and gutters for public drainage,NA - Providing drains and gutters for public drainage,1.0,Srikakulam,495433.0,250000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
63,PRJ_EA880C49E69D,Midhun Reddy,Andhra Pradesh,Rajampet,Construction of boundary walls of existing public and community buildings,NA - Construction of boundary walls of existing public and community buildings,1.0,Annamayya,449930.0,250000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
95,PRJ_7119C15E1AB6,Maddila Gurumoorthy,Andhra Pradesh,Tirupati(Sc),Construction of rooms and halls in school and colleges,NA - Construction of rooms and halls in school and colleges,1.0,Tirupati,499993.0,300000.0,exact_normalized_l1,HIGH_CONFIDENCE
132,PRJ_D3B39657F3B0,Kinjarapu Ram Mohan Naidu,Andhra Pradesh,Srikakulam,"Construction of roads, link roads, pathways or any other road with or without drainage system","NA - Construction of roads, link roads, pathways or any other road with or without drainage system",1.0,Srikakulam,485043.0,250000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
164,PRJ_7E180950A8A0,Kinjarapu Ram Mohan Naidu,Andhra Pradesh,Srikakulam,Construction of bus-sheds or bus-stops,NA - Construction of bus-sheds or bus-stops,1.0,Srikakulam,512727.0,700000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
166,PRJ_5339E4B209D3,Kinjarapu Ram Mohan Naidu,Andhra Pradesh,Srikakulam,Construction of community centers and community halls,NA - Construction of community centers and community halls,1.0,Srikakulam,498394.0,500000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
169,PRJ_C0673547FB6C,Midhun Reddy,Andhra Pradesh,Rajampet,Construction of community centers and community halls,NA - Construction of community centers and community halls,1.0,Chittoor,499996.0,500000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
198,PRJ_8B896FB7F116,Balashowry Vallabbhaneni,Andhra Pradesh,Machilipatnam,"Construction of roads, link roads, pathways or any other road with or without drainage system","NA - Construction of roads, link roads, pathways or any other road with or without drainage system",1.0,Krishna,1158273.0,500000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
209,PRJ_C75C64E77004,Y S Avinash Reddy,Andhra Pradesh,Kadapa,Installing community drinking water plants,NA - Installing community drinking water plants,1.0,Y.S.R. Kadapa,275219.0,455000.0,exact_normalized_l1,HIGH_CONFIDENCE
212,PRJ_00CF4BB9E221,Midhun Reddy,Andhra Pradesh,Rajampet,Providing drains and gutters for public drainage,NA - Providing drains and gutters for public drainage,1.0,Annamayya,183546.0,250000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
245,PRJ_409D98563DEB,Midhun Reddy,Andhra Pradesh,Rajampet,Installing community drinking water plants,NA - Installing community drinking water plants,1.0,Chittoor,283452.0,30000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
247,PRJ_B53C79CB8A16,Midhun Reddy,Andhra Pradesh,Rajampet,Installing tube-wells and borewells,NA - Installing tube-wells and borewells,1.0,Annamayya,197365.0,150000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
283,PRJ_3E7644296695,Kinjarapu Ram Mohan Naidu,Andhra Pradesh,Srikakulam,Construction of toilet blocks,NA - Construction of toilet blocks,1.0,Srikakulam,327925.0,300000.0,exact_normalized_l1,HIGH_CONFIDENCE
294,PRJ_929BF3CA7830,Y S Avinash Reddy,Andhra Pradesh,Kadapa,Construction of buildings for community cultural activities,NA - Construction of buildings for community cultural activities,1.0,Y.S.R. Kadapa,199285.0,1000000.0,exact_normalized_l1,HIGH_CONFIDENCE
303,PRJ_5D2BE0551623,Lavu Sri Krishna Devarayalu,Andhra Pradesh,Narasaraopet,Installing community drinking water plants,NA - Installing community drinking water plants,1.0,Palnadu,199628.0,1400000.0,exact_normalized_l1,HIGH_CONFIDENCE
355,PRJ_2F4A6795A990,Maddila Gurumoorthy,Andhra Pradesh,Tirupati(Sc),Providing supply pipelines for drinking water,NA - Providing supply pipelines for drinking water,1.0,Tirupati,498850.0,450000.0,exact_normalized_l1,HIGH_CONFIDENCE
375,PRJ_241980B53513,Midhun Reddy,Andhra Pradesh,Rajampet,Construction of bus-sheds or bus-stops,NA - Construction of bus-sheds or bus-stops,1.0,Chittoor,284908.0,300000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
419,PRJ_32FF840614FA,Y S Avinash Reddy,Andhra Pradesh,Kadapa,Construction of public irrigation facilities,NA - Construction of public irrigation facilities,1.0,Y.S.R. Kadapa,199487.0,490000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
627,PRJ_4B8D5C01869E,Kinjarapu Ram Mohan Naidu,Andhra Pradesh,Srikakulam,Improvement of electricity distribution infrastructure,NA - Improvement of electricity distribution infrastructure,1.0,Srikakulam,1386007.0,355000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
691,PRJ_00418BB5A699,Magunta Sreenivasulu Reddy,Andhra Pradesh,Ongole,Construction of buildings for community cultural activities,NA - Construction of buildings for community cultural activities,1.0,Prakasam,992801.0,650000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
730,PRJ_3CA5442B2D89,Y S Avinash Reddy,Andhra Pradesh,Kadapa,Providing supply pipelines for drinking water,NA - Providing supply pipelines for drinking water,1.0,Y.S.R. Kadapa,391781.0,400000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
770,PRJ_0F5167726944,Balashowry Vallabbhaneni,Andhra Pradesh,Machilipatnam,Installing community drinking water plants,NA - Installing community drinking water plants,1.0,East Godavari,243215.0,1000000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
909,PRJ_F6A8A2BE60B9,Y S Avinash Reddy,Andhra Pradesh,Kadapa,Establishing public ground water recharging facilities,NA - Establishing public ground water recharging facilities,1.0,Y.S.R. Kadapa,500000.0,150000.0,exact_normalized_l1,HIGH_CONFIDENCE
967,PRJ_D58E8C9BDAEE,Maddila Gurumoorthy,Andhra Pradesh,Tirupati(Sc),Improvement of electricity distribution infrastructure,NA - Improvement of electricity distribution infrastructure,1.0,Tirupati,423883.0,328501.0,exact_normalized_l1,MEDIUM_CONFIDENCE
1154,PRJ_7F9179F5383B,Midhun Reddy,Andhra Pradesh,Rajampet,"Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","NA - Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids",1.0,Annamayya,90000.0,100000.0,exact_normalized_l1,HIGH_CONFIDENCE
1197,PRJ_CCD3A6D744DD,Y S Avinash Reddy,Andhra Pradesh,Kadapa,Construction of boundary walls of existing public and community buildings,NA - Construction of boundary walls of existing public and community buildings,1.0,Y.S.R. Kadapa,434169.0,1000000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
1298,PRJ_00EDAF91AE2D,Lavu Sri Krishna Devarayalu,Andhra Pradesh,Narasaraopet,Improvement of electricity distribution infrastructure,NA - Improvement of electricity distribution infrastructure,1.0,Guntur,416758.0,50000.0,exact_normalized_l1,HIGH_CONFIDENCE
1396,PRJ_105B90C16CE4,Maddila Gurumoorthy,Andhra Pradesh,Tirupati(Sc),Construction of culverts and bridges,NA - Construction of culverts and bridges,1.0,Tirupati,497541.0,3900000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
1594,PRJ_D43D96BB1075,Kinjarapu Ram Mohan Naidu,Andhra Pradesh,Srikakulam,Street lights,NA - Street lights,1.0,Srikakulam,499717.0,475000.0,exact_normalized_l1,HIGH_CONFIDENCE
1743,PRJ_0343377272D9,Kiren Rijiju,Arunachal Pradesh,Arunachal West,"Construction of roads, link roads, pathways or any other road with or without drainage system","NA - Construction of roads, link roads, pathways or any other road with or without drainage system",1.0,Lower Subansiri,500000.0,300000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
1751,PRJ_7CE960FCBC32,Kiren Rijiju,Arunachal Pradesh,Arunachal West,Construction of footpaths and pedestrian ways,NA - Construction of footpaths and pedestrian ways,1.0,Kamle,2000000.0,200000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
1752,PRJ_05828E662DA0,Kiren Rijiju,Arunachal Pradesh,Arunachal West,Construction of boundary walls of existing public and community buildings,NA - Construction of boundary walls of existing public and community buildings,1.0,Papum Pare,200000.0,2000000.0,exact_normalized_l1,MEDIUM_CONFIDENCE
1764,PRJ_BC8F83B2D770,Kiren Rijiju,Arunachal Pradesh,Arunachal West,Construction of culverts and bridges,NA - Construction of culverts and bridges,1.0,Lower Subansiri,101892.0,400000.0,exact_normalized_l1,HIGH_CONFIDENCE
