vendor_name,total_expenditure,tx_count,mp_count,constituency_count,district_count
JAI CONSTRUCTION,279186648.0,349,2,3,3
KRIDL BHUSIRI ACCOUNT WORKS,228922003.0,411,16,19,17
SAI ENTERPRISES,222588328.0,280,5,6,4
MS RAMESH CHANDRA PATEL,203527108.0,183,1,3,1
MS RAJ KAMAL CONSTRUCTIONS,201379967.0,167,1,1,1
SRIJAN CONSTRUCTION,198392434.0,279,1,1,2
Murphy Thumrah,192149737.0,126,1,1,4
SHREE VISHNU TRADERS,188414963.0,61,3,5,3
R K Construction,187499090.0,213,6,7,6
AMIT KUMAR JUNIOR ENGINEER,172548425.0,448,1,1,1
BIHARI JI MAHADEV ASSOCIATES,170807434.0,204,5,5,4
Praharsh Infrastructure,163767367.0,55,1,2,1
RAJESH KUMAR PAL,153511822.0,130,1,1,2
Sunny Enterprises,149943746.0,41,1,1,1
RMK ENTERPRISES,148651200.0,36,3,3,2
Siddhu Enterprises,146468497.0,154,1,1,1
BIOLUNAR ENERGY SOLUTION,145056500.0,286,5,5,4
RANJIT SALES CORPORATION,141203200.0,257,5,5,4
RAJEEV RANJAN JUNIOR ENGINEER,135803500.0,233,1,2,1
SHIV DURGA INDUSTRIES,132815421.0,87,3,3,2
AADI AND RUDRANSH CONSTRUCTION COMPANY,132227612.0,79,2,2,3
VE Commercial Vehicles Ltd,128728035.0,72,11,11,12
TATA MOTORS,124342563.0,83,20,23,18
SIGMA ENTERPRISES,123750000.0,50,1,1,1
DHANASEKARAN K,122350188.0,130,1,1,1
SML ISUZU LTD,122111554.0,64,13,14,13
Mysore Nirmithi Kendra,121475000.0,308,3,4,1
NIRMITHI KENDRA DAVANGERE,112600000.0,163,1,1,2
intent computer solutions,110750000.0,42,2,2,1
SHRI GURU KRIPA NARSINGH ASSOCIATES,108056623.0,98,2,2,3
Alam Brothers,107851000.0,116,1,1,1
JITENDRA KUMAR SINGH,107177961.0,135,2,3,2
ASSISTANT ENGINEER RAMGARH,104814623.0,263,1,1,1
ARVIND KUMAR PANDEY,102503011.0,258,1,1,2
BIDYUT BHANDARI,101638851.0,37,1,2,1
S K CONSTRUCTION,100694210.0,149,5,6,5
S K ENTERPRISES,100026890.0,71,6,7,5
T S SOLAR POWER SYSTEM,99716925.0,155,2,3,5
SITA RAM PATEL,98183604.0,410,2,3,1
RAKESH KUMAR SHARMA,97238884.0,132,1,2,1
Nightingale Networks LLP,97212226.0,239,1,1,1
SHYAM SOLAR TRADING,96112990.0,153,1,1,1
ARUNODAY PRAKASHAN,96000000.0,25,2,2,1
TANYA CONSTRUCTION,95543355.0,176,2,3,2
SHRI GANESH ASSOCIATES PROPRIETOR NARAYAN SHARMA,94440637.0,240,1,1,1
MAHI ENTERPRISES,94439812.0,362,1,1,1
CHANDAN ENTERPRISES,89989000.0,73,3,3,3
QUALITTY ENTERPRISES,89521138.0,199,2,2,3
Raman Chihansung,87620000.0,46,1,2,4
MP Agro Biaora,86990116.0,108,1,1,1
Ajay Kumar Singh,80806736.0,356,3,4,3
A S ENTERPRISES,79337960.0,121,3,3,3
Gyan Ganga,77345200.0,206,5,8,6
KANHAIYA KUMAR SINGH,77260556.0,182,1,1,1
BAKE BIHARI TRADERS,75845382.0,310,1,2,3
NATIONAL INFRATECH,72871822.0,577,2,2,2
SADGURU SAI INFRA WORLD PVT LTD REWA,70264830.0,116,1,1,1
ASSISTANT ENGINEER DIGHA,70155557.0,69,1,1,1
M S Y R ENTERPRISES,69729124.0,85,1,2,1
ANUJ SINGHAL CONTRACTOR,68636549.0,172,1,1,1
DUTTA ENTERPRISE,68607986.0,34,1,1,1
AL ARQAM ENTERPRISES,68026633.0,192,1,1,1
The Gill Sehkari Kirat te Ussari Sabha Ltd,67649549.0,356,1,1,3
Central Electronics Limited,67494393.0,6,1,1,1
MD SADDAM,67203557.0,32,1,2,1
MAHALAXMI INDUSTRIES,67171988.0,151,2,2,2
ASSISTANT ENGINEER ZILA PARISHAD KHUNTI,65940000.0,169,1,2,1
ATANU PATRA,65910131.0,67,2,3,3
Aiok M Sangma,65410000.0,82,1,1,2
BALAJI ENTERPRISES,64350480.0,27,2,3,2
GRAND TRADING COMPANY,64124000.0,92,1,1,1
Ms GANPATI CONSTRUCTIONS,64110923.0,123,1,1,1
MANNAT CONSTRUCTION,63676222.0,297,2,2,2
PROJECT MANAGER NIRMITHI KENDRA RAMANAGARA,63550000.0,210,2,2,2
amit mathur,63196738.0,80,1,1,1
MS AMAR MANI TRIPATHI,63069141.0,107,1,1,1
GLOSIA ENERGY INDIA PRIVATE LIMITED,62686772.0,64,2,3,2
VISHWANATH ENTERPRISES,62288807.0,29,1,1,1
Electromech Enterpries,62276655.0,216,2,3,2
Aaradhya Enterprises,61185882.0,262,3,3,1
GOPAL CHANDRA CHOWDHURY,60807152.0,45,2,3,3
DEVESH KUMAR PATLE,60640235.0,356,1,1,1
ZILLA NIRMITi KENDRA,60387500.0,151,1,1,1
Sarkar Enterprise,60315835.0,11,2,2,2
Jagdish Narayan,59948457.0,134,1,1,1
R R BUILDERS,59675151.0,24,1,2,1
Ss Construction,59629530.0,70,1,1,1
A AND A BUILDERS AND PROMOTERS,59040855.0,12,1,1,1
HARI TARA ASSOCIATES,59012997.0,24,1,2,1
MA ENTERPRISE,58278669.0,25,1,1,1
SHREE HARIOM INFOTECH,57204636.0,115,1,2,2
Hindusthan Power Technology,57154308.0,151,1,1,2
GOPAL,56827805.0,115,4,6,6
Bommai Zilla Nirmithi Kendra,55850000.0,164,1,1,1
BIRENDRA KUMAR MAHATO,55610000.0,285,1,1,1
The Sidhu Kirat te Usari Sehkari Sabha ltd,55604169.0,241,1,1,3
MPLADS Beneficiary Committee Churachandpur,55171967.0,84,1,2,1
SWASTIK ENTERPRISES,54886029.0,62,2,2,2
Bijay Bhusan,54847775.0,141,1,1,1
SAHAYAK ABHIYANTA KUDHANI VIDHANSABHA KSHETRA,54813604.0,62,1,1,1
DEV CONSTRUCTION,54720423.0,81,5,6,5
Nirmithi Kendra Shivamogga,54167882.0,185,1,1,1
SHOURYA ENTERPRISES,53242346.0,47,1,1,1
EXECUTIVE ENGINER NREP GIRIDIH,52929130.0,216,2,2,1
PROJECT MANAGER NIRMITHI KENDRA MANDYA,52825000.0,137,1,1,1
R S ENTERPRISES,52264275.0,27,2,3,2
SOMYA CONSTRUCTION,51486466.0,349,1,1,2
KPL EQUIPMENTS PRIVATE LIMITED,51359853.0,127,1,1,2
DHIRENDRA KUMAR,51267063.0,83,1,1,1
SHYAM BIHARI PRASAD YADAV,50970698.0,105,1,2,1
NEO MOTORS,50737140.0,3,1,1,1
ANNPURNA TRADING,50457248.0,39,2,2,2
DEVKI ENTERPRISES,50329884.0,51,1,1,1
HIDAYA QIRAT ENTERPRISES,49464795.0,81,3,2,2
James Phangcho,49200649.0,37,1,2,1
VISHNUPRIYA CONSTRUCTION REWA,49052480.0,34,1,1,2
Yashika Construction Co,48405840.0,101,1,1,1
SG ENTERPRISE,48167937.0,12,2,2,3
MP STATE AGRO INDUSTRIES DEVELOPMENT CORP REWA,47743000.0,51,1,1,2
BHAGWATI CHAND,47519283.0,887,1,2,1
BABA VISHWANATH ENTERPRISES,47241605.0,50,1,1,1
MAKSUD AHMAD CONTRACTOR,47102116.0,278,1,2,1
M S Communication,47063067.0,184,4,5,6
MS VIDYARTHI CONSTRUCTION,46932477.0,28,1,1,1
MP STATE AGRO INDUSTRIES DEVELOPMENT CORP LTD,46831938.0,213,1,2,1
FINGERPRINT,45000000.0,6,1,1,1
FORCE MOTORS LIMITED,44795182.0,25,11,11,11
DE ZP Gumla,44342168.0,173,1,2,1
B PAUL AND CO,44331146.0,107,2,3,2
Project Director Nirmithi Kendra Chitradrga,44175000.0,120,1,2,1
MK INFRATECH,43901844.0,153,2,2,2
Triloki Nath Tripathi,43291050.0,3,1,1,1
I MAX SCIENCE HOUSE,42800000.0,107,1,1,1
MS RUDRA CONSTRUCTION,42443216.0,47,1,1,1
Ravi Electronics,42157431.0,11,1,1,1
THE CHAWINDA COOPRATIVE LABOUR AND CONSTRUCTION SOCIETY,42153138.0,111,1,1,1
DHARMENDRA ENTERPRISES,42061703.96,210,1,1,1
Pradeep Kumar,41767293.0,24,3,3,3
NISHA CONSTRUCTION,41189835.0,81,1,2,1
VIGYAN UPKARAN KENDRA,40995000.0,33,2,2,2
SHARMA CONTRACTOR,40729874.3,91,2,3,1
AMARNATH PANDEY AMARNATH PANDEY CONTRACTOR,40682300.0,101,1,1,1
NAMASKAR BOOKS,40400000.0,107,3,4,3
JAI PRAKASH,40332123.0,122,2,2,2
ALLUMINA ELECTRONICS,40022332.0,167,2,2,2
Bimla Automobiles,39925522.0,107,1,1,4
MUNIAN VENKATESAN,39876588.0,91,1,1,2
Laxmi Electricals,39357702.0,9,1,2,1
INTERNATIONAL SCIENTIFIC STORES,39323000.0,30,3,3,2
Shiv kumar thekedar,39283715.0,311,1,1,1
ONN INFRATECH,39185302.0,25,1,1,1
SRI SAI LAKSHMI CONSTRUCTIONS,38901885.0,15,1,2,1
SATYAVER SIGH CONTRACTOR AND SUPPLIER,38855815.0,92,1,1,2
ASST ENG MUZ LAEO1,38828842.0,36,1,1,1
shyam swaroop manufacturere,38424772.08,292,1,2,3
MP STATE AGRO IND DEV CORP LTD,38315594.0,113,1,1,1
UP STATE AGRO INDUSTRIAL CORPORATION LTD BICHPAI URMAURA,37949678.0,320,1,2,1
Greenz,37877962.0,49,5,5,6
AV ENTERTAINMENT,37750000.0,133,1,1,1
M S TRADERS,37533820.0,42,1,1,2
SHRI GURU KRIPA NARSINGH ASSOSIATES,37203872.0,4,1,1,1
HARIRAM CONSTRUCTIONS,37168892.0,46,1,1,1
Gandhi Construction And Supplier,37013269.0,322,1,1,1
Project Manager Nirmiti kendra gadag,36925000.0,89,2,2,1
Imlichuba,36900000.0,10,1,1,1
DINESH KUMAR,36842692.0,83,6,7,7
COMPAC SOLUTIONS,36628000.0,13,2,2,2
TECHKRITI INFRATECH PVT LTD,36570146.0,72,1,1,2
Balram Maurya Construction and supplier,36418591.0,82,1,1,2
SHIV SHAKTI FURNITURE,36202348.0,12,1,1,2
Goldi Contractor,36091502.0,39,1,1,1
VIOLET ENTERPRISES,36039127.0,145,1,1,3
KRISHNA CONSTRUCTION,35985436.0,69,6,6,6
SHYAM SUNDER ENTERPRISES,35950985.0,36,4,4,3
VEENA CONSTRUCTIONS,35919000.0,39,1,1,1
OM ENTERPRISES,35841466.0,69,4,5,4
P S ASSOCIATE,35643794.0,65,1,1,1
DORNALA ANJAIAH,35577917.0,234,1,1,4
AGNI BINASHAK,35468235.0,12,1,2,1
ASSISTANT ENGINEER KHAGARIA,35330379.0,36,1,1,1
ASSISTANT ENGINEER MOHANIA,35257500.0,52,1,2,1
Shiv Kumar,35129411.0,421,2,2,2
MP State Cooperative Marketing Fed Li Rajgarh,35015956.0,72,1,1,1
R ENTERPRISE,34974922.0,90,2,2,2
Distt Education Officer,34941900.0,28,1,1,1
Sheel Sons,34796130.0,8,1,1,1
SRI SAI SAMHITA CONSTRUCTIONS,34760949.0,6,1,2,1
Priyanka yadau,34671471.0,36,2,2,2
EE NREP SIMDEGA,34650000.0,127,1,2,1
D T CONTRACTOR,34495558.0,45,1,2,1
Atharv Enterprises,34446064.0,5,1,1,1
JAY MAHAVEER INFRAVENTURE PRIVATE LIMITED,34182037.0,54,1,1,1
JE SATYENDRA KUMAR,34143652.0,114,1,1,1
AJAY KUMAR YADAV,33691315.0,88,1,1,1
Ahmed Raza,33613272.0,200,2,2,5
UP STATE AGRO,33290243.0,129,2,3,2
Reipang Varu,33000000.0,6,1,2,1
AKUONUO,33000000.0,6,1,1,1
Shri Krishna Construction,32816296.0,70,1,2,1
ASST ENG GAYGHAT WD MUZ,32789185.0,41,1,1,1
SHANTI DEVI,32691300.0,31,2,2,2
RajKamal Constructions,32667708.0,35,1,1,1
ASST ENG BOCHAHA LAEO MUZ,32617968.0,34,1,1,1
The Mananging Director Kerala Medical Service Coporation Ltd,32562250.0,1,1,1,1
T PRABHAKARAN,32532613.0,75,2,3,4
HARINANDAN RAJAK JUNIOR ENGINEER NREP W SINGHBHUM CHAIBASA,32459374.0,58,2,4,1
CONSTRUCON POWER ENGINEERING,32420906.0,25,2,3,2
E SEKAR,32387234.0,13,1,1,2
Pasuparthi Hareesh,32039409.0,58,1,1,1
LABMEDICA SYSTEMS PVT LTD,32000000.0,4,1,2,2
MANOJ KUMAR,31920317.0,41,5,5,5
PRAGATI CONSTRUCTION,31690925.0,48,1,1,1
Madasamy A,31479330.0,54,1,2,2
MANISH FEBRICATION,31395620.0,14,1,1,1
Onn Infratech,31286491.0,34,1,1,1
TUMKUR NIRMITHI KENDRA,31222500.0,28,2,2,1
BKM Enterprises,31218735.0,43,1,1,1
Assistant engineer chenari,30971611.0,31,1,2,1
ANUSHKA CONSTRUCTION SUPPLIERS,30819267.0,9,1,2,1
RAVICHANDRAN,30776243.0,16,1,2,1
Mittal Generator,30692360.0,39,1,1,1
GM Constructions and Infra P,30674757.0,8,1,1,1
UNITECH INSULATION,30572281.0,4,1,1,1
M S Y  R ENTERPRISES,30488830.0,37,1,1,1
TECHNO BEST,30422659.0,14,2,3,2
MS SAKET TRADERS,30362981.0,61,1,1,1
PRAYAS,30311317.0,52,1,1,1
SOM NATH INFRATECH,30224880.0,6,1,1,1
XEN City DHBVN Bhiwani,30211783.0,206,2,2,2
MS Jai Singh Verma,30032640.0,6,1,1,1
M KARTHIKEYAN,30000000.0,9,1,1,1
SHRI VAIKUNTHANAATHAA,29987892.0,3,1,1,1
District Engineer,29754667.0,164,1,1,1
mp agro,29647769.0,170,2,3,1
Shyam Solar Trading,29609493.0,12,1,1,1
POORVA CONSTRUCTION CO,29556702.0,6,1,1,1
SCIENCE PALACE,29520000.0,12,1,1,1
BS Enterprises,29415513.0,42,1,1,1
RAGHAVA ENTERPRISES,29282400.0,21,1,2,1
TIRUPATI CONSTRUCTION,29237100.0,9,1,2,1
SRI SAI ENTERPRISES,29195091.0,47,3,4,5
KHURSHEED ALAM CONTRACTOR,29022768.0,96,1,1,1
SANDIP KUMAR BHAGAT,28899634.0,71,1,2,1
MP STATE AGRO IND CORP HARDA,28816530.0,106,1,2,1
