mp_name,work,category,state,constituency,ida,city,ward,block,village,recommended_date,allocation_amount,ida_approval,status,house,work_age_days,recommendation_year,recommendation_month,location_key,work_normalized,amount_percentile
Manoj Rajoria,NA - Installing community drinking water plants,Normal/Others,Rajasthan,KARAULI-DHOLPUR(SC),DISTRICT COLLECTOR DHOLPUR_IDA,Unknown,Unknown,Rajakhera,Nadauli,2024-03-04,100000,Action Pending,Unsanctioned,Lok Sabha,918,2024,3,Rajasthan|KARAULI-DHOLPUR(SC)|Rajakhera|Nadauli,na - installing community drinking water plants,0.0815
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,Unknown,Unknown,Manigachhi,Jagdishpur,2024-03-04,487000,Action Pending,Unsanctioned,Lok Sabha,918,2024,3,Bihar|DARBHANGA|Manigachhi|Jagdishpur,na - street lights,0.5654
Manoj Rajoria,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,Rajasthan,KARAULI-DHOLPUR(SC),DISTRICT COLLECTOR DHOLPUR_IDA,Unknown,Unknown,Sepau,Kaithri,2024-03-04,500000,Action Pending,Unsanctioned,Lok Sabha,918,2024,3,Rajasthan|KARAULI-DHOLPUR(SC)|Sepau|Kaithri,"na - construction of roads, link roads, pathways or any other road with or without drainage system",0.6623
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,Unknown,Unknown,Manigachhi,Chandaur,2024-03-04,487000,Action Pending,Unsanctioned,Lok Sabha,918,2024,3,Bihar|DARBHANGA|Manigachhi|Chandaur,na - street lights,0.5654
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,Unknown,Unknown,Manigachhi,Kotma,2024-03-04,487000,Action Pending,Unsanctioned,Lok Sabha,918,2024,3,Bihar|DARBHANGA|Manigachhi|Kotma,na - street lights,0.5654
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,Unknown,Unknown,Manigachhi,Lehara,2024-03-04,487000,Action Pending,Unsanctioned,Lok Sabha,918,2024,3,Bihar|DARBHANGA|Manigachhi|Lehara,na - street lights,0.5654
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,Unknown,Unknown,Manigachhi,Belaur,2024-03-04,487000,Action Pending,Unsanctioned,Lok Sabha,918,2024,3,Bihar|DARBHANGA|Manigachhi|Belaur,na - street lights,0.5654
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,Unknown,Unknown,Manigachhi,Raghopur,2024-03-04,487000,Action Pending,Unsanctioned,Lok Sabha,918,2024,3,Bihar|DARBHANGA|Manigachhi|Raghopur,na - street lights,0.5654
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,Unknown,Unknown,Manigachhi,Barhampura,2024-03-04,487000,Action Pending,Unsanctioned,Lok Sabha,918,2024,3,Bihar|DARBHANGA|Manigachhi|Barhampura,na - street lights,0.5654
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,Unknown,Unknown,Manigachhi,Tatuar,2024-03-04,487000,Action Pending,Unsanctioned,Lok Sabha,918,2024,3,Bihar|DARBHANGA|Manigachhi|Tatuar,na - street lights,0.5654
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,Unknown,Unknown,Tardih,Kokraha,2024-03-04,487000,Action Pending,Unsanctioned,Lok Sabha,918,2024,3,Bihar|DARBHANGA|Tardih|Kokraha,na - street lights,0.5654
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,Unknown,Unknown,Darbhanga,Siso,2024-03-04,487000,Action Pending,Unsanctioned,Lok Sabha,918,2024,3,Bihar|DARBHANGA|Darbhanga|Siso,na - street lights,0.5654
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,Unknown,Unknown,Darbhanga,Sara Mahamad,2024-03-04,487000,Action Pending,Unsanctioned,Lok Sabha,918,2024,3,Bihar|DARBHANGA|Darbhanga|Sara Mahamad,na - street lights,0.5654
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,Unknown,Unknown,Darbhanga,Basdeopur,2024-03-04,487000,Action Pending,Unsanctioned,Lok Sabha,918,2024,3,Bihar|DARBHANGA|Darbhanga|Basdeopur,na - street lights,0.5654
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,Unknown,Unknown,Darbhanga,Shahbazpur,2024-03-04,487000,Action Pending,Unsanctioned,Lok Sabha,918,2024,3,Bihar|DARBHANGA|Darbhanga|Shahbazpur,na - street lights,0.5654
Mr Gopal Jee Thakur,NA - Street lights,Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,Unknown,Unknown,Darbhanga,Khutwara,2024-03-04,487000,Action Pending,Unsanctioned,Lok Sabha,918,2024,3,Bihar|DARBHANGA|Darbhanga|Khutwara,na - street lights,0.5654
Pradyut Bordoloi,NA - Setting up public non-conventional energy plants,Normal/Others,Assam,NOWGONG,DEPUTY COMMISSIONER NOWGONG_IDA,Unknown,Unknown,Nagaon,Town Nagaon,2024-03-04,500000,Action Pending,Unsanctioned,Lok Sabha,918,2024,3,Assam|NOWGONG|Nagaon|Town Nagaon,na - setting up public non-conventional energy plants,0.6623
Pradyut Bordoloi,NA - Construction of boundary walls of existing public and community buildings,Normal/Others,Assam,NOWGONG,DEPUTY COMMISSIONER NOWGONG_IDA,Unknown,Unknown,Nagaon,Majarati,2024-03-04,300000,Action Pending,Unsanctioned,Lok Sabha,918,2024,3,Assam|NOWGONG|Nagaon|Majarati,na - construction of boundary walls of existing public and community buildings,0.4381
Pradyut Bordoloi,NA - Construction of community centers and community halls,Normal/Others,Assam,NOWGONG,DEPUTY COMMISSIONER NOWGONG_IDA,Unknown,Unknown,Nagaon,Town Nagaon,2024-03-04,500000,Action Pending,Unsanctioned,Lok Sabha,918,2024,3,Assam|NOWGONG|Nagaon|Town Nagaon,na - construction of community centers and community halls,0.6623
Pradyut Bordoloi,NA - Construction of boundary walls of existing public and community buildings,Normal/Others,Assam,NOWGONG,DEPUTY COMMISSIONER NOWGONG_IDA,Unknown,Unknown,Nagaon,Barbheti,2024-03-04,300000,Action Pending,Unsanctioned,Lok Sabha,918,2024,3,Assam|NOWGONG|Nagaon|Barbheti,na - construction of boundary walls of existing public and community buildings,0.4381
Manoj Rajoria,NA - Installing community drinking water plants,Normal/Others,Rajasthan,KARAULI-DHOLPUR(SC),DISTRICT COLLECTOR DHOLPUR_IDA,Unknown,Unknown,Sepau,Kookara,2024-03-04,600000,Action Pending,Unsanctioned,Lok Sabha,918,2024,3,Rajasthan|KARAULI-DHOLPUR(SC)|Sepau|Kookara,na - installing community drinking water plants,0.7632
Manoj Rajoria,NA - Installing community drinking water plants,Normal/Others,Rajasthan,KARAULI-DHOLPUR(SC),DISTRICT COLLECTOR DHOLPUR_IDA,Unknown,Unknown,Sepau,Sepau 2,2024-03-04,100000,Action Pending,Unsanctioned,Lok Sabha,918,2024,3,Rajasthan|KARAULI-DHOLPUR(SC)|Sepau|Sepau 2,na - installing community drinking water plants,0.0815
Manoj Rajoria,NA - Installing community drinking water plants,Normal/Others,Rajasthan,KARAULI-DHOLPUR(SC),DISTRICT COLLECTOR DHOLPUR_IDA,Unknown,Unknown,Bari,Norha,2024-03-04,600000,Action Pending,Unsanctioned,Lok Sabha,918,2024,3,Rajasthan|KARAULI-DHOLPUR(SC)|Bari|Norha,na - installing community drinking water plants,0.7632
Manoj Rajoria,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,Rajasthan,KARAULI-DHOLPUR(SC),DISTRICT COLLECTOR DHOLPUR_IDA,Unknown,Unknown,Rajakhera,Rahsena,2024-03-04,1000000,Action Pending,Unsanctioned,Lok Sabha,918,2024,3,Rajasthan|KARAULI-DHOLPUR(SC)|Rajakhera|Rahsena,"na - construction of roads, link roads, pathways or any other road with or without drainage system",0.8786
Mr Gopal Jee Thakur,"NA - Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,Bihar,DARBHANGA,DISTRICT MAGISTRATE DARBANGA_IDA,Unknown,Unknown,DARBHANGA,Dularpur,2024-03-04,499000,Action Pending,Unsanctioned,Lok Sabha,918,2024,3,Bihar|DARBHANGA|DARBHANGA|Dularpur,"na - construction of roads, link roads, pathways or any other road with or without drainage system",0.5805
